PA-001,YYZ,CDG,2019:01:01,09:40,19:45,9143
PA-001,YYZ,CDG,2019:01:02,22:42,09:00,9143
PA-001,YYZ,CDG,2019:01:03,12:50,23:02,9143
PA-001,YYZ,CDG,2019:01:04,13:13,23:28,9143
PA-001,YYZ,CDG,2019:01:05,02:25,12:23,9143
PA-001,YYZ,CDG,2019:01:06,12:14,22:16,9143
PA-001,YYZ,CDG,2019:01:07,02:35,12:35,9143
PA-001,YYZ,CDG,2019:01:08,22:03,08:06,9143
PA-001,YYZ,CDG,2019:01:09,19:21,05:19,9143
PA-001,YYZ,CDG,2019:01:10,04:25,14:23,9143
PA-001,YYZ,CDG,2019:01:11,04:55,15:01,9143
PA-001,YYZ,CDG,2019:01:12,16:13,02:18,9143
PA-001,YYZ,CDG,2019:01:13,19:55,06:04,9143
PA-001,YYZ,CDG,2019:01:14,19:48,05:44,9143
PA-001,YYZ,CDG,2019:01:15,07:47,18:03,9143
PA-001,YYZ,CDG,2019:01:16,12:44,22:44,9143
PA-001,YYZ,CDG,2019:01:17,11:54,22:15,9143
PA-001,YYZ,CDG,2019:01:18,18:03,04:09,9143
PA-001,YYZ,CDG,2019:01:19,08:38,18:38,9143
PA-001,YYZ,CDG,2019:01:20,05:54,16:12,9143
PA-001,YYZ,CDG,2019:01:21,09:58,19:52,9143
PA-001,YYZ,CDG,2019:01:22,21:22,07:17,9143
PA-001,YYZ,CDG,2019:01:23,18:33,04:54,9143
PA-001,YYZ,CDG,2019:01:24,06:50,17:08,9143
PA-001,YYZ,CDG,2019:01:25,04:41,14:43,9143
PA-001,YYZ,CDG,2019:01:26,08:37,18:39,9143
PA-001,YYZ,CDG,2019:01:27,05:16,15:22,9143
PA-001,YYZ,CDG,2019:01:28,15:36,01:56,9143
PA-001,YYZ,CDG,2019:01:29,21:59,08:11,9143
PA-001,YYZ,CDG,2019:01:30,15:01,00:55,9143
PA-001,YYZ,CDG,2019:01:31,00:39,10:51,9143
PA-002,YYZ,DXB,2019:01:01,06:55,00:02,15058
PA-002,YYZ,DXB,2019:01:02,03:04,19:30,15058
PA-002,YYZ,DXB,2019:01:03,00:49,17:35,15058
PA-002,YYZ,DXB,2019:01:04,20:54,13:56,15058
PA-002,YYZ,DXB,2019:01:05,13:49,06:21,15058
PA-002,YYZ,DXB,2019:01:06,07:35,00:10,15058
PA-002,YYZ,DXB,2019:01:07,04:36,21:22,15058
PA-002,YYZ,DXB,2019:01:08,22:51,15:30,15058
PA-002,YYZ,DXB,2019:01:09,07:43,00:08,15058
PA-002,YYZ,DXB,2019:01:10,12:25,05:10,15058
PA-002,YYZ,DXB,2019:01:11,02:59,19:26,15058
PA-002,YYZ,DXB,2019:01:12,21:51,14:36,15058
PA-002,YYZ,DXB,2019:01:13,17:55,10:49,15058
PA-002,YYZ,DXB,2019:01:14,21:17,13:54,15058
PA-002,YYZ,DXB,2019:01:15,15:29,08:28,15058
PA-002,YYZ,DXB,2019:01:16,14:37,07:20,15058
PA-002,YYZ,DXB,2019:01:17,09:16,01:38,15058
PA-002,YYZ,DXB,2019:01:18,18:40,11:31,15058
PA-002,YYZ,DXB,2019:01:19,07:03,23:42,15058
PA-002,YYZ,DXB,2019:01:20,13:17,05:37,15058
PA-002,YYZ,DXB,2019:01:21,13:55,06:44,15058
PA-002,YYZ,DXB,2019:01:22,00:42,17:08,15058
PA-002,YYZ,DXB,2019:01:23,17:09,10:16,15058
PA-002,YYZ,DXB,2019:01:24,22:28,15:15,15058
PA-002,YYZ,DXB,2019:01:25,05:07,22:08,15058
PA-002,YYZ,DXB,2019:01:26,19:24,12:09,15058
PA-002,YYZ,DXB,2019:01:27,16:26,08:55,15058
PA-002,YYZ,DXB,2019:01:28,16:26,09:05,15058
